latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2017-03-17,2.13
2017-03-18,2.13
2017-03-19,2.13
2017-03-20,2.13
2017-03-21,2.16
2017-03-22,2.13
2017-03-23,2.09
2017-03-24,2.09
2017-03-25,2.09
2017-03-26,2.16
2017-03-27,2.22
2017-03-28,2.25
2017-03-29,2.44
2017-03-30,3.69
2017-03-31,4.75
2017-04-01,5.00
2017-04-02,4.90
2017-04-03,4.78
2017-04-04,4.69
2017-04-05,4.71
2017-04-06,4.78
2017-04-07,4.71
2017-04-08,4.62
2017-04-09,4.56
2017-04-10,4.56
2017-04-11,4.50
2017-04-12,4.43
2017-04-13,4.35
2017-04-14,4.25
2017-04-15,4.19
2017-04-16,4.13
2017-04-17,4.06
2017-04-18,4.00
2017-04-19,4.00
2017-04-20,4.09
2017-04-21,4.28
2017-04-22,12.30
2017-04-23,17.28
2017-04-24,14.89
2017-04-25,13.22
2017-04-26,12.27
2017-04-27,11.39
2017-04-28,10.59
2017-04-29,9.99
2017-04-30,9.57
2017-05-01,9.26
2017-05-02,9.00
2017-05-03,8.73
2017-05-04,8.46
2017-05-05,8.25
2017-05-06,8.10
2017-05-07,7.93
2017-05-08,7.75
2017-05-09,7.59
2017-05-10,7.43
2017-05-11,7.24
2017-05-12,7.09
2017-05-13,7.00
2017-05-14,6.96
2017-05-15,7.04
2017-05-16,7.13
2017-05-17,7.09
2017-05-18,7.00
2017-05-19,6.91
2017-05-20,6.82
2017-05-21,6.73
2017-05-22,6.59
2017-05-23,6.50
2017-05-24,6.41
2017-05-25,6.35
2017-05-26,6.28
2017-05-27,6.24
2017-05-28,6.13
2017-05-29,6.06
2017-05-30,6.87
2017-05-31,7.49
2017-06-01,7.85
2017-06-02,8.12
2017-06-03,8.38
2017-06-04,13.93
2017-06-05,16.46
2017-06-06,14.35
2017-06-07,12.71
2017-06-08,11.79
2017-06-09,11.19
2017-06-10,10.91
2017-06-11,10.80
2017-06-12,11.33
2017-06-13,12.21
2017-06-14,12.68
2017-06-15,12.55
2017-06-16,12.43
2017-06-17,12.55
2017-06-18,12.71
2017-06-19,12.80
2017-06-20,12.77
2017-06-21,12.68
2017-06-22,12.55
2017-06-23,12.43
2017-06-24,12.30
2017-06-25,12.12
2017-06-26,11.94
2017-06-27,11.76
2017-06-28,11.59
2017-06-29,11.42
2017-06-30,11.25
2017-07-01,11.13
2017-07-02,11.05
2017-07-03,11.11
2017-07-04,11.22
2017-07-05,11.25
2017-07-06,11.11
2017-07-07,10.94
2017-07-08,10.80
2017-07-09,10.67
2017-07-10,10.56
2017-07-11,10.48
2017-07-12,10.43
2017-07-13,10.38
2017-07-14,10.25
2017-07-15,10.07
2017-07-16,9.91
2017-07-17,9.74
2017-07-18,9.76
2017-07-19,10.09
2017-07-20,10.48
2017-07-21,10.59
2017-07-22,10.46
2017-07-23,10.48
2017-07-24,10.80
2017-07-25,11.05
2017-07-26,10.99
2017-07-27,10.83
2017-07-28,10.72
2017-07-29,10.67
2017-07-30,10.53
2017-07-31,10.43
2017-08-01,10.35
2017-08-02,10.30
2017-08-03,10.19
2017-08-04,10.09
2017-08-05,10.07
2017-08-06,10.07
2017-08-07,9.99
2017-08-08,9.86
2017-08-09,9.76
2017-08-10,9.84
2017-08-11,10.19
2017-08-12,10.78
2017-08-13,11.22
2017-08-14,11.42
2017-08-15,11.47
2017-08-16,11.42
2017-08-17,11.36
2017-08-18,11.42
2017-08-19,11.45
2017-08-20,11.45
2017-08-21,11.36
2017-08-22,11.30
2017-08-23,11.33
2017-08-24,11.30
2017-08-25,11.16
2017-08-26,11.08
2017-08-27,11.22
2017-08-28,11.30
2017-08-29,11.19
2017-08-30,11.08
2017-08-31,11.05
2017-09-01,10.99
2017-09-02,10.94
2017-09-03,10.91
2017-09-04,10.91
2017-09-05,10.86
2017-09-06,10.75
2017-09-07,10.64
2017-09-08,10.56
2017-09-09,10.53
2017-09-10,10.56
2017-09-11,10.59
